filename,rMean,gMean,bMean,rMedian,gMedian,bMedian,cluster_mean,cluster_median
../images/renamed/img_72.png,187.612752,152.035104,106.874976,188.0,153.0,108.0,0,2
../images/renamed/img_73.png,91.833312,61.164704,38.404624,94.0,62.0,37.0,1,0
../images/renamed/img_74.png,203.902096,181.853248,154.076832,205.0,183.0,155.0,2,1
../images/renamed/img_75.png,175.355344,148.250672,113.477232,171.0,141.0,102.0,0,2
../images/renamed/img_76.png,85.814832,48.791632,34.231616,79.0,43.0,30.0,1,0
../images/renamed/img_77.png,51.969328,27.48456,11.151648,51.0,26.0,11.0,1,0
../images/renamed/img_78.png,89.479472,58.871312,35.832096,92.0,60.0,35.0,1,0
../images/renamed/img_79.png,136.277248,93.640192,57.190752,136.0,93.0,57.0,1,0
../images/renamed/img_80.png,136.574816,110.333552,82.763792,136.0,110.0,82.0,0,2
../images/renamed/img_81.png,135.243008,88.199248,59.761248,131.0,80.0,53.0,1,0
../images/renamed/img_82.png,222.14504,217.304784,212.963344,222.0,217.0,213.0,2,1
../images/renamed/img_83.png,172.214736,161.32432,151.789152,172.0,161.0,151.0,2,1
../images/renamed/img_84.png,118.411744,108.513984,89.334928,119.0,109.0,90.0,0,2
../images/renamed/img_85.png,152.597056,136.47656,109.352368,155.0,139.0,112.0,0,2
../images/renamed/img_86.png,206.670384,159.887328,107.075328,216.0,170.0,115.0,0,1
../images/renamed/img_87.png,83.892272,69.763152,58.302368,83.0,69.0,57.0,1,0
../images/renamed/img_88.png,77.874144,49.394656,30.114944,78.0,50.0,30.0,1,0
../images/renamed/img_89.png,152.456704,145.834208,140.352048,154.0,147.0,142.0,0,2
../images/renamed/img_90.png,51.504064,27.258752,11.147952,51.0,26.0,11.0,1,0
../images/renamed/img_91.png,120.768736,90.469616,57.214704,121.0,91.0,57.0,1,0
../images/renamed/img_92.png,193.872864,158.498896,122.21448,195.0,160.0,124.0,0,1
../images/renamed/img_93.png,174.5416,147.381872,112.520048,171.0,140.0,102.0,0,2
../images/renamed/img_94.png,175.05112,167.713376,154.511488,177.0,170.0,157.0,2,1
../images/renamed/img_95.png,87.00472,49.95648,35.216096,79.0,43.0,30.0,1,0
../images/renamed/img_96.png,227.58096,204.716544,167.866816,238.0,218.0,182.0,2,1
../images/renamed/img_97.png,99.463472,90.086032,76.502256,99.0,90.0,76.0,1,0
../images/renamed/img_98.png,191.442528,152.11144,112.623136,198.0,158.0,115.0,0,2
../images/renamed/img_99.png,174.595024,132.162832,88.94896,174.0,131.0,88.0,0,2
../images/renamed/img_100.png,216.114592,188.6852,148.12576,218.0,192.0,150.0,2,1
../images/renamed/img_101.png,208.90352,191.71864,156.5528,221.0,206.0,174.0,2,1
../images/renamed/img_102.png,112.849248,113.087984,115.277376,110.0,111.0,114.0,0,2
../images/renamed/img_103.png,175.175648,151.915504,129.802832,167.0,138.0,113.0,0,2
../images/renamed/img_104.png,69.665952,46.081856,32.273776,69.0,45.0,32.0,1,0
../images/renamed/img_105.png,80.335504,72.98824,62.61032,82.0,74.0,63.0,1,0
../images/renamed/img_106.png,54.99144,32.51416,15.610064,55.0,32.0,15.0,1,0
../images/renamed/img_107.png,112.617664,75.858112,48.92368,113.0,76.0,48.0,1,0
../images/renamed/img_108.png,190.37808,146.481104,103.396608,193.0,149.0,105.0,0,2
../images/renamed/img_109.png,185.14544,173.972064,158.52024,185.0,174.0,159.0,2,1
../images/renamed/img_110.png,169.085056,134.741024,103.70752,172.0,137.0,106.0,0,2
